=== CUDA TIME TOTAL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
_ZN6natten4cuda4gemm6KernelIN7cutlass4arch4Sm80ENS1_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.365ms         0.58%       2.365ms      16.421us           144  
                         aten::embedding_dense_backward         0.03%     647.224us         0.11%       2.820ms      46.995us       2.267ms         0.56%       2.338ms      38.971us            60  
void at::native::(anonymous namespace)::embedding_ba...         0.00%       0.000us         0.00%       0.000us       0.000us       2.267ms         0.56%       2.267ms      37.777us            60  
                                              aten::cat         0.33%       8.465ms         0.52%      13.277ms      23.050us       2.248ms         0.55%       2.248ms       3.903us           576  
                                ampere_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us       2.248ms         0.55%       2.248ms       7.805us           288  
                                              aten::add         0.45%      11.326ms         0.68%      17.300ms      19.222us       2.095ms         0.51%       2.095ms       2.327us           900  
void at::native::(anonymous namespace)::layer_norm_g...         0.00%       0.000us         0.00%       0.000us       0.000us       2.071ms         0.51%       2.071ms       3.028us           684  
                       ampere_sgemm_128x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us       2.013ms         0.49%       2.013ms      16.775us           120  
void wgrad_alg0_engine<float, 128, 5, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.871ms         0.46%       1.871ms      51.985us            36  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.542s
Self CUDA time total: 407.103ms
